lat;gops
4.98;0.47
8.94;0.94
16.85;1.88
31.87;3.76
61.77;7.51
121.83;15.02
242.10;30.04
481.68;60.09
1.12;0.47
1.82;0.94
3.00;1.88
4.77;3.76
8.36;7.51
15.41;15.02
29.42;30.04
57.47;60.09
1.59;0.47
2.57;0.94
4.45;1.88
7.05;3.76
12.43;7.51
22.64;15.02
43.17;30.04
84.04;60.09
1.30;0.47
2.09;0.94
3.47;1.88
5.50;3.76
9.84;7.51
17.63;15.02
33.65;30.04
66.36;60.09
1.69;0.47
2.90;0.94
4.95;1.88
8.25;3.76
14.71;7.51
27.22;15.02
52.97;30.04
103.62;60.09
2.44;0.47
4.24;0.94
7.21;1.88
12.02;3.76
21.50;7.51
40.23;15.02
78.48;30.04
153.73;60.09
1.94;0.47
3.35;0.94
5.68;1.88
9.38;3.76
16.99;7.51
31.28;15.02
61.09;30.04
119.45;60.09
4.87;0.47
6.87;0.94
9.88;1.88
15.70;3.76
27.34;7.51
50.66;15.02
97.22;30.04
190.34;60.09
376.83;120.18
749.57;240.36
14561.129;4694.49728
1.30;0.47
1.78;0.94
2.60;1.88
3.93;3.76
6.59;7.51
11.94;15.02
22.59;30.04
43.90;60.09
86.53;120.18
172.03;240.36
